R-OTE
FrameNum,Time,Value,Ref1,Ref2,Ref3
143,[18:59:15.8080],2550.923077,4466.000000,6606.333333,4240.461538
144,[18:59:16.1080],2806.500000,5116.166667,7040.666667,5112.076923
145,[18:59:16.4080],2235.000000,4943.076923,5914.000000,4290.615385
146,[18:59:16.7080],1709.400000,3280.000000,6166.000000,3434.000000
147,[18:59:17.0080],2303.000000,4230.000000,7108.000000,4096.000000
148,[18:59:17.3080],1404.500000,4290.000000,5763.000000,4868.000000
149,[18:59:17.6080],1711.000000,3915.000000,5364.000000,3420.384615
150,[18:59:17.9080],2576.000000,5402.692308,9213.500000,4257.000000
151,[18:59:18.2080],1957.000000,5187.153846,7397.200000,4636.000000
152,[18:59:18.5080],2552.000000,4320.166667,6168.833333,4223.000000
153,[18:59:18.8080],2190.000000,4227.615385,7183.181818,3199.000000
154,[18:59:19.1080],1866.600000,5125.153846,5965.461538,3773.000000
155,[18:59:19.4080],3656.153846,3572.000000,6501.000000,3813.000000
156,[18:59:19.7080],1953.000000,5602.000000,7216.000000,3314.833333
157,[18:59:20.0090],1464.000000,4526.666667,6361.666667,3430.333333
158,[18:59:20.3060],2910.200000,2915.000000,5393.818182,3169.000000
159,[18:59:20.6080],2682.000000,3917.000000,7108.727273,4428.000000
160,[18:59:20.9080],3073.090909,4304.500000,7277.200000,3393.000000
161,[18:59:21.2080],1624.666667,3033.500000,4151.833333,2898.538462
162,[18:59:21.5090],1662.000000,2971.000000,6307.000000,2363.000000
163,[18:59:21.8080],2159.000000,4611.076923,6890.461538,3912.153846
164,[18:59:22.1090],1873.000000,4754.333333,7221.230769,4310.000000
165,[18:59:22.4080],2022.000000,3604.000000,6409.090909,4169.272727
166,[18:59:22.7080],3566.000000,4665.769231,7229.538462,4219.000000
167,[18:59:23.0080],911.000000,3581.333333,5955.909091,3164.000000
168,[18:59:23.3090],1831.666667,5279.800000,6487.000000,3967.000000
169,[18:59:23.6080],2549.909091,4138.153846,5887.000000,3355.000000
170,[18:59:23.9080],2077.846154,5655.846154,6974.923077,4699.333333
171,[18:59:24.2080],2468.000000,4897.769231,6815.000000,4513.000000
172,[18:59:24.5080],2467.000000,5278.181818,5899.000000,4890.500000
173,[18:59:24.8080],2459.538462,5560.000000,7144.833333,4324.500000
174,[18:59:25.1060],2472.666667,4952.461538,5970.666667,3738.000000
175,[18:59:25.4060],1826.500000,3805.250000,4312.000000,2511.384615
176,[18:59:25.7090],2195.000000,3528.615385,6635.833333,4545.307692
177,[18:59:26.0190],2668.769231,5088.000000,8172.384615,3856.000000
178,[18:59:26.3080],2042.230769,4113.000000,7150.769231,4223.846154
179,[18:59:26.6080],2040.000000,4104.000000,6517.692308,4579.000000
180,[18:59:26.9080],2033.230769,3159.000000,5748.636364,2442.000000
181,[18:59:27.2080],2472.307692,4459.000000,7420.666667,4032.000000
182,[18:59:27.5090],2712.833333,4050.666667,5715.846154,3180.000000
183,[18:59:27.8080],1650.000000,3815.000000,5935.461538,3212.000000
184,[18:59:28.1080],2337.000000,4892.538462,6117.727273,3079.000000
185,[18:59:28.4080],2523.000000,5001.692308,6888.000000,4776.000000
186,[18:59:28.7090],2504.000000,3923.000000,6796.166667,4037.833333
187,[18:59:29.0080],3206.818182,4817.500000,6627.923077,4798.000000
188,[18:59:29.3080],1958.000000,4634.333333,4889.000000,3733.307692
189,[18:59:29.6080],2181.461538,4072.000000,5033.615385,2875.000000
190,[18:59:29.9090],1358.000000,4265.538462,7125.600000,3576.000000
191,[18:59:30.2060],1287.000000,4377.272727,4614.384615,2550.000000
192,[18:59:30.5060],2613.666667,4400.833333,5832.666667,4035.461538
193,[18:59:30.8080],2212.000000,5272.333333,7265.000000,4308.000000
194,[18:59:31.1090],1439.000000,3640.000000,5611.272727,2447.153846
195,[18:59:31.4080],1342.272727,3789.230769,5124.384615,1789.000000
196,[18:59:31.7090],2177.333333,2758.000000,5180.000000,2710.750000
197,[18:59:32.0090],2144.615385,3886.153846,6870.230769,4123.000000
198,[18:59:32.3080],2531.000000,3720.000000,5673.636364,3228.500000
199,[18:59:32.6090],2479.166667,4033.307692,5631.769231,3923.846154
200,[18:59:32.9090],2915.250000,4424.000000,7013.000000,4319.833333
201,[18:59:33.2090],2107.000000,3629.500000,6070.833333,3029.000000
202,[18:59:33.5090],1863.818182,2952.846154,4314.923077,2408.000000
203,[18:59:33.8090],1084.461538,2682.363636,5073.000000,1934.000000
204,[18:59:34.1090],1717.000000,4164.000000,5729.000000,4159.800000
205,[18:59:34.4080],2630.000000,5304.909091,7529.000000,4087.000000
206,[18:59:34.7090],438.846154,998.000000,2015.500000,613.000000
207,[18:59:35.0090],550.000000,2568.000000,4596.666667,2824.000000
208,[18:59:35.3060],1621.000000,2166.000000,5512.363636,3223.538462
209,[18:59:35.6060],1011.000000,2541.666667,4201.461538,2023.000000
210,[18:59:35.9060],1590.000000,3844.769231,4782.333333,2900.500000
211,[18:59:36.2070],1492.769231,3003.000000,4027.000000,2131.666667
212,[18:59:36.5060],1218.000000,1514.000000,2440.000000,1698.000000
213,[18:59:36.8070],1074.076923,1980.000000,3183.333333,2117.461538
214,[18:59:37.1070],2123.000000,4580.000000,6578.333333,4005.000000
215,[18:59:37.4070],1385.000000,3326.000000,4953.272727,2114.833333
216,[18:59:37.7060],2322.000000,4736.923077,5855.307692,2831.000000
217,[18:59:38.0070],2243.200000,2840.000000,4878.000000,2519.000000
218,[18:59:38.3070],1790.000000,3944.454545,4827.000000,4632.384615
219,[18:59:38.6070],2534.000000,3815.000000,6589.000000,4763.200000
220,[18:59:38.9060],2558.545455,3672.000000,5176.923077,3298.000000
221,[18:59:39.2070],2311.666667,5161.363636,5740.769231,3891.909091
222,[18:59:39.5070],2027.615385,4240.384615,6806.000000,3573.000000
223,[18:59:39.8070],2743.076923,4473.000000,5868.000000,3773.000000
224,[18:59:40.1070],2352.000000,5412.166667,6775.111111,4088.000000
225,[18:59:40.4070],2444.384615,5084.545455,7508.846154,4073.000000
226,[18:59:40.7060],2927.545455,5208.000000,7081.923077,4090.384615
227,[18:59:41.0160],1560.000000,4501.000000,6479.600000,3760.000000
228,[18:59:41.3070],1347.307692,2231.000000,3045.000000,1866.153846
229,[18:59:41.6070],1826.000000,4028.307692,5924.000000,3835.923077
230,[18:59:41.9070],2155.333333,4472.000000,8078.615385,3902.000000
231,[18:59:42.2070],2520.833333,5420.090909,6224.307692,4601.166667
232,[18:59:42.5070],2120.500000,4197.000000,6692.545455,3219.000000
233,[18:59:42.8070],1761.000000,3332.461538,5083.000000,3760.461538
234,[18:59:43.1080],2213.000000,4630.000000,6450.000000,4459.000000
235,[18:59:43.4070],1459.000000,3531.000000,6771.272727,3993.000000
236,[18:59:43.7070],2266.400000,3285.000000,5970.333333,3240.000000
237,[18:59:44.0070],1555.000000,3847.000000,6679.000000,4484.166667
238,[18:59:44.3070],2598.666667,5253.000000,7681.000000,4346.384615
239,[18:59:44.6070],2975.000000,3884.000000,7361.000000,4012.000000
240,[18:59:44.9070],2253.692308,5103.000000,6909.090909,4504.000000
241,[18:59:45.2070],2052.230769,3414.000000,6363.222222,3830.166667
242,[18:59:45.5070],1685.000000,5043.384615,6594.000000,4104.000000
243,[18:59:45.8070],2190.000000,4897.833333,6884.000000,3324.384615
244,[18:59:46.1070],2325.000000,4966.166667,6856.333333,4303.076923
245,[18:59:46.4070],2337.000000,5026.000000,6555.000000,3548.833333
246,[18:59:46.7070],2744.000000,3954.000000,6642.090909,3966.500000
247,[18:59:47.0070],1850.000000,3863.000000,6549.000000,3646.222222
248,[18:59:47.3070],1751.500000,4154.500000,5041.000000,3539.000000
249,[18:59:47.6070],1884.000000,4911.600000,6333.166667,4645.000000
250,[18:59:47.9070],1767.000000,4253.727273,6717.666667,4866.384615
251,[18:59:48.2070],1882.769231,4340.454545,6429.846154,3690.000000
252,[18:59:48.5070],2713.307692,4568.000000,6709.000000,3468.000000
253,[18:59:48.8070],2413.000000,4485.538462,6020.000000,3541.230769
254,[18:59:49.1070],1666.000000,3832.615385,5733.692308,3547.666667
255,[18:59:49.4070],1798.666667,3982.000000,5140.000000,2435.727273
256,[18:59:49.7070],2183.545455,4443.500000,4961.615385,3176.000000
257,[18:59:50.0070],2488.000000,5107.500000,7238.846154,4582.000000
258,[18:59:50.3070],2344.166667,3581.000000,7692.769231,3485.500000
259,[18:59:50.6070],3302.888889,5521.666667,6158.538462,5252.307692
260,[18:59:50.9070],1988.000000,4646.230769,6157.384615,3524.000000
261,[18:59:51.2070],2610.333333,3910.000000,7733.000000,3853.538462
262,[18:59:51.5070],1904.000000,3527.000000,6627.363636,3385.000000
263,[18:59:51.8070],2199.000000,5403.000000,6429.000000,3797.000000
264,[18:59:52.1070],2775.833333,4479.769231,5711.666667,2973.307692
265,[18:59:52.4070],1918.769231,4284.000000,7417.833333,4280.461538
266,[18:59:52.7070],2440.200000,4537.272727,7342.000000,4266.000000
267,[18:59:53.0070],2765.769231,5105.692308,7556.833333,3534.000000
268,[18:59:53.3070],1945.461538,4067.000000,7242.500000,3924.181818
269,[18:59:53.6080],1720.000000,4063.000000,6259.636364,3118.461538
270,[18:59:53.9070],2328.166667,3729.923077,5910.076923,3074.000000
271,[18:59:54.2070],1917.000000,4822.333333,6503.000000,4095.000000
272,[18:59:54.5070],2018.545455,4786.800000,7025.000000,3973.666667
273,[18:59:54.8070],3137.000000,4758.000000,7075.000000,4787.333333
274,[18:59:55.1070],2549.444444,3951.545455,5659.538462,2801.615385
275,[18:59:55.4070],1741.909091,3041.000000,6236.461538,3381.000000
276,[18:59:55.7070],907.000000,3413.000000,4431.000000,3221.000000
277,[18:59:56.0160],2759.500000,4636.727273,6032.692308,3253.000000
278,[18:59:56.3100],2838.153846,4322.692308,7099.090909,4147.692308
279,[18:59:56.6090],1580.923077,3655.000000,5898.461538,2478.400000
280,[18:59:56.9100],2189.000000,4809.272727,6778.000000,3424.000000
281,[18:59:57.2100],2473.923077,4804.000000,6510.000000,3519.000000
282,[18:59:57.5100],1210.000000,3154.500000,4112.000000,3641.000000
283,[18:59:57.8100],2192.307692,3738.000000,6770.000000,3514.833333
284,[18:59:58.1100],1754.000000,3730.000000,5556.230769,3008.000000
285,[18:59:58.4100],2317.200000,4434.000000,5583.076923,3895.307692
286,[18:59:58.7100],2007.000000,4552.000000,6672.076923,4123.000000
287,[18:59:59.0100],3030.181818,4215.923077,6442.461538,3779.000000
288,[18:59:59.3100],1845.846154,4555.230769,6998.454545,3633.615385
289,[18:59:59.6100],1834.000000,4329.846154,5236.500000,4128.076923
290,[18:59:59.9100],3363.200000,5059.538462,6332.777778,4282.545455
291,[19:00:00.2070],2500.833333,3394.181818,5260.888889,3366.000000
292,[19:00:00.5070],2198.000000,3383.000000,6696.000000,2886.000000
293,[19:00:00.8100],2190.615385,4036.000000,6709.000000,2907.000000
294,[19:00:01.1100],1676.230769,4370.153846,7320.000000,3729.923077
295,[19:00:01.4100],2127.000000,4651.000000,7106.384615,3590.000000
296,[19:00:01.7100],1941.230769,2590.000000,3966.692308,2219.461538
297,[19:00:02.0100],2311.818182,5298.727273,5801.000000,3463.000000
298,[19:00:02.3100],1858.272727,3946.153846,5257.166667,3366.666667
